Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
ATL,29,53,99,2393887,Vince Carter,42,PF,76,9,1330,-287.474,622.3684,0.1667,0.5502,0.4226,7.3947,196,468,0.4188,123,316,0.3892,73,152,0.4803,47,66,0.7121,31,163,194,87,44,27,48,141,562,0.141,7524,19855,1918,82,1397,1.8125,0.1474,0.3519,3e-4,0.0925,0.2376,3e-4,0.0549,0.1143,4e-4,0.0353,0.0496,5e-4,0.0233,0.1226,0.1459,0.0654,0.0331,0.0203,0.0361,0.106,1e-4,575,5.5915,nonTOT
ATL,29,53,116,2299080,John Collins,21,PF,61,59,1829,716.4605,1534.0328,0.2375,0.5927,0.6495,19.4754,465,831,0.5596,55,158,0.3481,410,673,0.6092,203,266,0.7632,219,376,595,121,22,39,120,199,1188,0.3201,7524,19855,1918,82,1397,1.0083,0.2542,0.4543,3e-4,0.0301,0.0864,2e-4,0.2242,0.368,3e-4,0.111,0.1454,4e-4,0.1197,0.2056,0.3253,0.0662,0.012,0.0213,0.0656,0.1088,2e-4,1416,10.992,nonTOT
ATL,29,53,444,77250,Alex Poythress,25,PF,21,1,305,189.2867,161.381,0.1423,0.5494,0.3508,5.0952,40,81,0.4938,9,23,0.3913,31,58,0.5345,18,29,0.6207,29,47,76,17,4,10,13,47,107,0.358,7524,19855,1918,82,1397,1.3077,0.1311,0.2656,0.0016,0.0295,0.0754,0.0013,0.1016,0.1902,0.0018,0.059,0.0951,0.002,0.0951,0.1541,0.2492,0.0557,0.0131,0.0328,0.0426,0.1541,0.0012,149,2.0308,nonTOT
ATL,29,53,499,1622520,Omari Spellman,21,PF,46,11,805,391.6828,404.3261,0.1489,0.4918,0.3379,5.913,98,244,0.4016,44,128,0.3438,54,116,0.4655,32,45,0.7111,72,122,194,47,26,25,31,67,272,0.1844,7524,19855,1918,82,1397,1.5161,0.1217,0.3031,5e-4,0.0547,0.159,4e-4,0.0671,0.1441,6e-4,0.0398,0.0559,9e-4,0.0894,0.1516,0.241,0.0584,0.0323,0.0311,0.0385,0.0832,2e-4,374,4.0498,nonTOT
CHI,22,60,350,4536120,Lauri Markkanen,21,PF,52,51,1682,649.18,1109.3654,0.2509,0.5057,0.5791,18.7308,342,795,0.4302,120,332,0.3614,222,463,0.4795,170,195,0.8718,74,396,470,75,37,33,85,122,974,0.2453,7205,19905,1695,82,1159,0.8824,0.2033,0.4727,3e-4,0.0713,0.1974,2e-4,0.132,0.2753,3e-4,0.1011,0.1159,5e-4,0.044,0.2354,0.2794,0.0446,0.022,0.0196,0.0505,0.0725,1e-4,1026,8.6326,nonTOT
PHO,19,63,2,213948,Quincy Acy,28,PF,10,0,123,55.438,37.6,0.0922,0.2778,0.1382,1.7,4,18,0.2222,2,15,0.1333,2,3,0.6667,7,10,0.7,3,22,25,8,1,4,4,24,17,0.5556,7164,19880,1858,82,1279,2,0.0325,0.1463,0.0018,0.0163,0.122,0.0011,0.0163,0.0244,0.0054,0.0569,0.0813,0.0057,0.0244,0.1789,0.2033,0.065,0.0081,0.0325,0.0325,0.1951,0.0045,34,0.6705,nonTOT
PHO,19,63,49,4661280,Dragan Bender,21,PF,46,27,826,370.5952,377.1957,0.134,0.5025,0.2785,5,88,197,0.4467,22,101,0.2178,66,96,0.6875,32,54,0.5926,34,149,183,56,18,22,37,90,230,0.2741,7164,19880,1858,82,1279,1.5135,0.1065,0.2385,5e-4,0.0266,0.1223,3e-4,0.0799,0.1162,8e-4,0.0387,0.0654,7e-4,0.0412,0.1804,0.2215,0.0678,0.0218,0.0266,0.0448,0.109,3e-4,341,3.7787,nonTOT
NYK,17,65,242,77250,Isaiah Hicks,24,PF,3,0,32,45.3681,19.6667,0.1496,0.5,0.375,4,4,8,0.5,0,0,0,4,8,0.5,4,5,0.8,2,5,7,2,1,3,1,5,12,0.625,7241,19780,1956,82,1151,2,0.125,0.25,0.0156,0,0,0,0.125,0.25,0.0156,0.125,0.1562,0.025,0.0625,0.1562,0.2188,0.0625,0.0312,0.0938,0.0312,0.1562,0.0195,19,0.4334,nonTOT
NYK,17,65,308,3744840,Kevin Knox,19,PF,75,57,2158,565.2674,805.48,0.2234,0.4382,0.4462,12.84,338,914,0.3698,125,364,0.3434,213,550,0.3873,162,226,0.7168,61,274,335,82,43,24,114,175,963,0.2473,7241,19780,1956,82,1151,0.7193,0.1566,0.4235,2e-4,0.0579,0.1687,2e-4,0.0987,0.2549,2e-4,0.0751,0.1047,3e-4,0.0283,0.127,0.1552,0.038,0.0199,0.0111,0.0528,0.0811,1e-4,693,6.4318,nonTOT
NYK,17,65,310,1619260,Luke Kornet,23,PF,46,18,784,369.1291,395.4565,0.179,0.5018,0.4107,7,107,283,0.3781,70,193,0.3627,37,90,0.4111,38,46,0.8261,28,107,135,54,27,42,25,41,322,0.1625,7241,19780,1956,82,1151,2.16,0.1365,0.361,5e-4,0.0893,0.2462,5e-4,0.0472,0.1148,5e-4,0.0485,0.0587,0.0011,0.0357,0.1365,0.1722,0.0689,0.0344,0.0536,0.0319,0.0523,2e-4,371,4.0254,nonTOT
NYK,17,65,514,7119650,Lance Thomas,30,PF,46,17,783,173.2538,244.4783,0.1293,0.4518,0.2618,4.4565,78,197,0.3959,22,79,0.2785,56,118,0.4746,27,36,0.75,21,96,117,27,17,7,24,83,205,0.1827,7241,19780,1956,82,1151,1.125,0.0996,0.2516,5e-4,0.0281,0.1009,4e-4,0.0715,0.1507,6e-4,0.0345,0.046,0.001,0.0268,0.1226,0.1494,0.0345,0.0217,0.0089,0.0307,0.106,2e-4,221,2.7294,nonTOT
NYK,17,65,534,1621415,Noah Vonleh,23,PF,68,57,1722,604.46,1045.7059,0.1481,0.5227,0.3316,8.3971,207,440,0.4705,46,137,0.3358,161,303,0.5314,111,156,0.7115,113,415,528,129,46,51,88,174,571,0.3545,7241,19780,1956,82,1151,1.4659,0.1202,0.2555,3e-4,0.0267,0.0796,2e-4,0.0935,0.176,3e-4,0.0645,0.0906,4e-4,0.0656,0.241,0.3066,0.0749,0.0267,0.0296,0.0511,0.101,2e-4,959,8.2062,nonTOT
CLE,19,63,336,24119025,Kevin Love,30,PF,22,21,598,269.7933,485.0909,0.2743,0.4788,0.6254,17,109,283,0.3852,53,147,0.3605,56,136,0.4118,103,114,0.9035,33,206,239,48,6,5,42,54,374,0.4028,7184,19755,1694,82,1106,1.1429,0.1823,0.4732,6e-4,0.0886,0.2458,6e-4,0.0936,0.2274,7e-4,0.1722,0.1906,0.0015,0.0552,0.3445,0.3997,0.0803,0.01,0.0084,0.0702,0.0903,7e-4,445,4.6137,nonTOT
