player_id,salary,player_name,Age,Pos,Tm,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,PTS_per_MP,FTF_MP,Creds,ApproxV
492,5450000,Jason Smith,32,"PF, C, C","MIL, NOP, WAS",20,1,190,71.1633,100.35,0.5817,0.4322,21,59,0.3559,9,26,0.3462,12,33,0.3636,14,16,0.875,16,36,52,14,3,7,13,30,65,0.2712,3.25,7471,19780,1904,82,1137,1.0769,0.1105,0.3105,0.0019,0.0474,0.1368,0.0018,0.0632,0.1737,0.0019,0.0737,0.0842,0.0046,0.0842,0.1895,0.2737,0.0737,0.0158,0.0368,0.0684,0.1579,0.3421,0.0014,88,1.3682
496,10607143,Tony Snell,27,SF,MIL,74,12,1304,361.2812,509.6892,0.1293,0.5637,163,361,0.4515,81,204,0.3971,82,157,0.5223,37,42,0.881,29,128,157,68,26,18,23,90,444,0.1163,6,7471,19780,1904,82,1137,2.9565,0.125,0.2768,3e-4,0.0621,0.1564,3e-4,0.0629,0.1204,4e-4,0.0284,0.0322,7e-4,0.0222,0.0982,0.1204,0.0521,0.0199,0.0138,0.0176,0.069,0.3405,1e-4,487,4.9366
563,2534280,DJ Wilson,22,PF,MIL,48,3,882,392.9128,423.3333,0.1442,0.506,104,251,0.4143,46,127,0.3622,58,124,0.4677,26,47,0.5532,45,177,222,52,18,20,32,85,280,0.1873,5.8333,7471,19780,1904,82,1137,1.625,0.1179,0.2846,5e-4,0.0522,0.144,4e-4,0.0658,0.1406,5e-4,0.0295,0.0533,6e-4,0.051,0.2007,0.2517,0.059,0.0204,0.0227,0.0363,0.0964,0.3175,2e-4,392,4.1951
565,1512601,Christian Wood,23,"PF, PF","MIL, NOP",21,2,251,243.1149,208.1905,0.5032,0.5598,61,117,0.5214,9,26,0.3462,52,91,0.5714,41,56,0.7321,17,66,83,8,7,10,17,17,172,0.4786,8.1905,7471,19780,1904,82,1137,0.4706,0.243,0.4661,0.0021,0.0359,0.1036,0.0014,0.2072,0.3625,0.0023,0.1633,0.2231,0.0029,0.0677,0.2629,0.3307,0.0319,0.0279,0.0398,0.0677,0.0677,0.6853,0.0019,192,2.4562
47,1378242,Jordan Bell,24,C,GSW,68,3,788,374.3864,444.3824,0.1367,0.5156,99,192,0.5156,0,2,0,99,190,0.5211,25,41,0.6098,55,129,184,76,20,51,42,80,223,0.2135,3.2794,7361,19805,1672,82,1169,1.8095,0.1256,0.2437,7e-4,0,0.0025,0,0.1256,0.2411,7e-4,0.0317,0.052,8e-4,0.0698,0.1637,0.2335,0.0964,0.0254,0.0647,0.0533,0.1015,0.283,3e-4,403,4.2831
64,486892,Andrew Bogut,34,C,GSW,11,5,134,48.037,97.2727,0.1446,0.5,18,36,0.5,0,0,0,18,36,0.5,3,3,1,12,43,55,11,3,8,8,22,39,0.0833,3.5455,7361,19805,1672,82,1169,1.375,0.1343,0.2687,0.0037,0,0,0,0.1343,0.2687,0.0037,0.0224,0.0224,0.0075,0.0896,0.3209,0.4104,0.0821,0.0224,0.0597,0.0597,0.1642,0.291,6e-4,90,1.3914
121,1544951,Quinn Cook,25,PG,GSW,74,10,1059,413.5028,563.3243,0.202,0.5569,204,439,0.4647,81,200,0.405,123,239,0.5146,20,26,0.7692,22,135,157,116,20,3,50,92,509,0.0592,6.8784,7361,19805,1672,82,1169,2.32,0.1926,0.4145,4e-4,0.0765,0.1889,4e-4,0.1161,0.2257,5e-4,0.0189,0.0246,7e-4,0.0208,0.1275,0.1483,0.1095,0.0189,0.0028,0.0472,0.0869,0.4806,1e-4,514,5.1405
123,5337000,DeMarcus Cousins,28,C,GSW,30,30,771,387.9654,692.6,0.2808,0.5148,178,371,0.4798,26,95,0.2737,152,276,0.5507,106,144,0.7361,43,204,247,107,40,44,72,109,488,0.3881,16.2667,7361,19805,1672,82,1169,1.4861,0.2309,0.4812,6e-4,0.0337,0.1232,4e-4,0.1971,0.358,7e-4,0.1375,0.1868,0.001,0.0558,0.2646,0.3204,0.1388,0.0519,0.0571,0.0934,0.1414,0.6329,5e-4,623,5.9381
132,37457154,Stephen Curry,30,PG,GSW,69,69,2331,505.329,1993.2174,0.3041,0.6037,632,1340,0.4716,354,810,0.437,278,530,0.5245,263,287,0.9164,45,324,369,361,92,25,192,166,1881,0.2142,27.2609,7361,19805,1672,82,1169,1.8802,0.2711,0.5749,2e-4,0.1519,0.3475,2e-4,0.1193,0.2274,2e-4,0.1128,0.1231,4e-4,0.0193,0.139,0.1583,0.1549,0.0395,0.0107,0.0824,0.0712,0.8069,1e-4,1804,13.1813
146,77250,Marcus Derrickson,22,PF,GSW,11,0,67,83.8679,42.7273,0.2437,0.6364,16,33,0.4848,10,20,0.5,6,13,0.4615,4,5,0.8,8,5,13,1,0,1,3,9,46,0.1515,4.1818,7361,19805,1672,82,1169,0.3333,0.2388,0.4925,0.0072,0.1493,0.2985,0.0075,0.0896,0.194,0.0069,0.0597,0.0746,0.0119,0.1194,0.0746,0.194,0.0149,0,0.0149,0.0448,0.1343,0.6866,0.0023,40,0.7574
160,30000000,Kevin Durant,30,SF,GSW,78,78,2702,519.9204,2400.1154,0.2896,0.5709,721,1383,0.5213,137,388,0.3531,584,995,0.5869,448,506,0.8854,33,464,497,457,58,84,225,155,2027,0.3659,25.9872,7361,19805,1672,82,1169,2.0311,0.2668,0.5118,2e-4,0.0507,0.1436,1e-4,0.2161,0.3682,2e-4,0.1658,0.1873,3e-4,0.0122,0.1717,0.1839,0.1691,0.0215,0.0311,0.0833,0.0574,0.7502,1e-4,2178,15.1818
170,1646400,Jacob Evans,21,SG,GSW,30,1,204,99.8084,59.6333,0.135,0.3774,18,53,0.3396,4,15,0.2667,14,38,0.3684,0,1,0,6,19,25,23,5,3,11,28,40,0.0189,1.3333,7361,19805,1672,82,1169,2.0909,0.0882,0.2598,0.0017,0.0196,0.0735,0.0013,0.0686,0.1863,0.0018,0,0.0049,0,0.0294,0.0931,0.1225,0.1127,0.0245,0.0147,0.053900000000000003,0.1373,0.1961,1e-4,49,0.8819
214,17469565,Draymond Green,28,PF,GSW,66,66,2065,518.4156,1321.4394,0.1306,0.5012,188,422,0.4455,47,165,0.2848,141,257,0.5486,63,91,0.6923,60,421,481,454,95,70,169,197,486,0.21560000000000001,7.3636,7361,19805,1672,82,1169,2.6864,0.091,0.2044,2e-4,0.0228,0.0799,1e-4,0.0683,0.1245,3e-4,0.0305,0.0441,3e-4,0.0291,0.2039,0.2329,0.2199,0.046,0.0339,0.0818,0.0954,0.2354,1e-4,1155,9.4345
