Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
MIN,36,46,507,19000000,Jeff Teague,30,PG,42,41,1264,335.5473,747.6905,0.193,0.4651,0.4035,12.1429,176,416,0.4231,35,105,0.3333,141,311,0.4534,123,153,0.8039,16,90,106,343,43,18,97,90,510,0.3678,7483,19830,1995,82,1074,3.5361,0.1392,0.3291,3e-4,0.0277,0.0831,3e-4,0.1116,0.246,4e-4,0.0973,0.121,6e-4,0.0127,0.0712,0.0839,0.2714,0.034,0.0142,0.0767,0.0712,3e-4,653,6.1513,nonTOT
NOP,33,49,276,1378242,Frank Jackson,20,PG,61,16,1169,418.7482,452.2131,0.1851,0.4933,0.4234,8.1148,194,447,0.434,53,169,0.3136,141,278,0.5072,54,73,0.7397,25,109,134,69,25,2,48,92,495,0.1633,7563,19755,1921,82,1215,1.4375,0.166,0.3824,4e-4,0.0453,0.1446,3e-4,0.1206,0.2378,4e-4,0.0462,0.0624,6e-4,0.0214,0.0932,0.1146,0.059,0.0214,0.0017,0.0411,0.0787,1e-4,405,4.299,nonTOT
NOP,33,49,430,3000000,Elfrid Payton,24,PG,42,42,1250,500.8649,792.3333,0.1828,0.4745,0.3568,10.619,179,412,0.4345,33,105,0.3143,146,307,0.4756,55,74,0.7432,49,171,220,320,44,17,112,81,446,0.1796,7563,19755,1921,82,1215,2.8571,0.1432,0.3296,3e-4,0.0264,0.084,3e-4,0.1168,0.2456,4e-4,0.044,0.0592,6e-4,0.0392,0.1368,0.176,0.256,0.0352,0.0136,0.0896,0.0648,1e-4,683,6.362,nonTOT
CHO,39,43,109,77250,Joe Chealey,23,PG,1,0,8,5.2715,1,0.1617,0.3333,0.25,2,1,3,0.3333,0,0,0,1,3,0.3333,0,0,0,0,0,0,1,0,0,0,1,2,0,7362,19830,1895,82,1001,Inf,0.125,0.375,0.0417,0,0,0,0.125,0.375,0.0417,0,0,0,0,0,0,0.125,0,0,0,0.125,0,1,0.0476,nonTOT
CHO,39,43,210,988464,Devonte Graham,23,PG,46,3,676,283.5537,272.3478,0.1698,0.4213,0.321,4.7174,74,216,0.3426,34,121,0.281,40,95,0.4211,35,46,0.7609,10,53,63,121,23,2,30,48,217,0.213,7362,19830,1895,82,1001,4.0333,0.1095,0.3195,5e-4,0.0503,0.179,4e-4,0.0592,0.1405,6e-4,0.0518,0.068,0.0011,0.0148,0.0784,0.0932,0.179,0.034,0.003,0.0444,0.071,3e-4,243,2.9308,nonTOT
CHO,39,43,424,5000000,Tony Parker,36,PG,56,0,1003,63.5379,563.6607,0.2548,0.4741,0.5284,9.4643,213,463,0.46,13,51,0.2549,200,412,0.4854,91,124,0.7339,14,69,83,207,21,7,75,53,530,0.2678,7362,19830,1895,82,1001,2.76,0.2124,0.4616,5e-4,0.013,0.0508,3e-4,0.1994,0.4108,5e-4,0.0907,0.1236,7e-4,0.014,0.0688,0.0828,0.2064,0.0209,0.007,0.0748,0.0528,3e-4,490,4.9594,nonTOT
CHO,39,43,539,12000000,Kemba Walker,28,PG,82,82,2863,593.353,2057.4268,0.3153,0.5113,0.7342,25.6341,731,1684,0.4341,260,731,0.3557,471,953,0.4942,380,450,0.8444,52,309,361,484,102,34,211,131,2102,0.2672,7362,19830,1895,82,1001,2.2938,0.2553,0.5882,2e-4,0.0908,0.2553,1e-4,0.1645,0.3329,2e-4,0.1327,0.1572,3e-4,0.0182,0.1079,0.1261,0.1691,0.0356,0.0119,0.0737,0.0458,1e-4,1849,13.4271,nonTOT
LAL,37,45,34,7461960,Lonzo Ball,21,PG,47,45,1423,533.7928,757.8085,0.1689,0.4879,0.3268,9.8936,185,456,0.4057,75,228,0.3289,110,228,0.4825,20,48,0.4167,54,197,251,255,69,19,103,114,465,0.1053,7425,19780,1910,82,1284,2.4757,0.13,0.3204,3e-4,0.0527,0.1602,2e-4,0.0773,0.1602,3e-4,0.0141,0.0337,3e-4,0.0379,0.1384,0.1764,0.1792,0.0485,0.0134,0.0724,0.0801,1e-4,657,6.1795,nonTOT
LAL,37,45,66,1000000,Isaac Bonga,19,PG,22,0,120,76.5602,37.7273,0.1574,0.1515,0.1583,0.8636,5,33,0.1515,0,8,0,5,25,0.2,9,15,0.6,9,16,25,15,9,4,6,9,19,0.4545,7425,19780,1910,82,1284,2.5,0.0417,0.275,0.0013,0,0.0667,0,0.0417,0.2083,0.0017,0.075,0.125,0.005,0.075,0.1333,0.2083,0.125,0.075,0.0333,0.05,0.075,0.0038,32,0.6407,nonTOT
LAL,37,45,102,77250,Alex Caruso,24,PG,25,4,531,282.066,295.32,0.1897,0.5145,0.4313,9.16,77,173,0.4451,24,50,0.48,53,123,0.4309,51,64,0.7969,20,47,67,77,24,9,42,54,229,0.3699,7425,19780,1910,82,1284,1.8333,0.145,0.3258,8e-4,0.0452,0.0942,9e-4,0.0998,0.2316,8e-4,0.096,0.1205,0.0015,0.0377,0.0885,0.1262,0.145,0.0452,0.0169,0.0791,0.1017,7e-4,255,3.0387,nonTOT
LAL,37,45,343,76236,Scott Machado,28,PG,4,0,19,25.7761,12,0.1404,0.75,0.5263,2.5,4,6,0.6667,1,1,1,3,5,0.6,1,1,1,0,0,0,3,1,0,0,2,10,0.1667,7425,19780,1910,82,1284,Inf,0.2105,0.3158,0.0351,0.0526,0.0526,0.0526,0.1579,0.2632,0.0316,0.0526,0.0526,0.0526,0,0,0,0.1579,0.0526,0,0,0.1053,0.0088,12,0.307,nonTOT
LAL,37,45,464,9000000,Rajon Rondo,32,PG,46,29,1369,271.6069,825.2391,0.1739,0.4641,0.3097,9.2174,175,432,0.4051,51,142,0.3592,124,290,0.4276,23,36,0.6389,34,209,243,367,57,7,127,100,424,0.0833,7425,19780,1910,82,1284,2.8898,0.1278,0.3156,3e-4,0.0373,0.1037,3e-4,0.0906,0.2118,3e-4,0.0168,0.0263,5e-4,0.0248,0.1527,0.1775,0.2681,0.0416,0.0051,0.0928,0.073,1e-4,701,6.4874,nonTOT
MEM,33,49,100,838464,Jevon Carter,23,PG,39,3,577,229.4479,208.1538,0.1797,0.3946,0.2981,4.4103,56,185,0.3027,34,102,0.3333,22,83,0.2651,26,32,0.8125,14,52,66,69,26,11,33,55,172,0.173,6924,19880,1882,82,1147,2.0909,0.0971,0.3206,5e-4,0.0589,0.1768,6e-4,0.0381,0.1438,5e-4,0.0451,0.0555,0.0014,0.0243,0.0901,0.1144,0.1196,0.0451,0.0191,0.0572,0.0953,3e-4,176,2.301,nonTOT
MEM,33,49,119,30521115,Mike Conley,31,PG,70,70,2342,429.373,1587.1429,0.2725,0.5067,0.6311,21.1143,490,1120,0.4375,155,426,0.3638,335,694,0.4827,343,406,0.8448,40,199,239,449,94,22,130,123,1478,0.3625,6924,19880,1882,82,1147,3.4538,0.2092,0.4782,2e-4,0.0662,0.1819,2e-4,0.143,0.2963,2e-4,0.1465,0.1734,4e-4,0.0171,0.085,0.102,0.1917,0.0401,0.0094,0.0555,0.0525,2e-4,1459,11.2414,nonTOT
WAS,32,50,431,85457,Gary Payton,26,PG,3,0,16,37.9675,17.6667,0.2384,0.6875,0.6875,3.6667,5,8,0.625,1,2,0.5,4,6,0.6667,0,0,0,1,1,2,4,3,1,1,2,11,0,7387,19930,1963,82,1154,4,0.3125,0.5,0.0391,0.0625,0.125,0.0312,0.25,0.375,0.0417,0,0,0,0.0625,0.0625,0.125,0.25,0.1875,0.0625,0.0625,0.125,0,17,0.3987,nonTOT
WAS,32,50,450,975824,Chasson Randle,25,PG,49,2,743,276.4279,306.1224,0.1639,0.5253,0.3647,5.5306,91,217,0.4194,46,115,0.4,45,102,0.4412,43,62,0.6935,10,46,56,97,25,3,43,91,271,0.2857,7387,19930,1963,82,1154,2.2558,0.1225,0.2921,6e-4,0.0619,0.1548,5e-4,0.0606,0.1373,6e-4,0.0579,0.0834,9e-4,0.0135,0.0619,0.0754,0.1306,0.0336,0.004,0.0579,0.1225,4e-4,264,3.1188,nonTOT
WAS,32,50,474,3129187,Tomas Satoransky,27,PG,80,54,2164,533.5367,1178.5,0.1411,0.5453,0.3276,8.8625,257,530,0.4849,64,162,0.3951,193,368,0.5245,131,160,0.8188,82,197,279,399,82,13,120,172,709,0.3019,7387,19930,1963,82,1154,3.325,0.1188,0.2449,2e-4,0.0296,0.0749,2e-4,0.0892,0.1701,2e-4,0.0605,0.0739,4e-4,0.0379,0.091,0.1289,0.1844,0.0379,0.006,0.0555,0.0795,1e-4,1060,8.8463,nonTOT
