Tm,W,L,WinP_Tm,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,TRB_MP,TRB,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
OKC,49,33,59.756097560975604,178,2118840,Terrance Ferguson,20,SG,74,74,1931,458.3847,521.3649,0.1055,0.5522,0.2657,6.9324,0.073,141,185,431,0.4292,106,290,0.3655,79,141,0.5603,37,51,0.7255,33,108,72,40,16,47,231,513,0.1183,7706,19855,2049,82,1145,1.5319,0.0958,0.2232,2e-4,0.0549,0.1502,2e-4,0.0409,0.073,3e-4,0.0192,0.0264,4e-4,0.0171,0.0559,0.0373,0.0207,0.0083,0.0243,0.1196,1e-4,475,4.8451,nonTOT
IND,48,34,58.536585365853654,169,12400000,Tyreke Evans,29,SG,69,18,1402,346.1062,699.2899,0.2645,0.4477,0.5036,10.2319,0.1434,201,257,660,0.3894,77,216,0.3565,180,444,0.4054,115,160,0.7188,33,168,166,58,18,118,117,706,0.2424,7135,19705,1727,82,1122,1.4068,0.1833,0.4708,3e-4,0.0549,0.1541,3e-4,0.1284,0.3167,3e-4,0.082,0.1141,5e-4,0.0235,0.1198,0.1184,0.0414,0.0128,0.0842,0.0835,2e-4,583,5.6498,nonTOT
IND,48,34,58.536585365853654,417,21000000,Victor Oladipo,26,SG,36,36,1147,456.7393,754.7222,0.2789,0.4864,0.5885,18.75,0.1761,202,249,588,0.4235,74,216,0.3426,175,372,0.4704,103,141,0.7305,21,181,186,60,11,82,72,675,0.2398,7135,19705,1727,82,1122,2.2683,0.2171,0.5126,4e-4,0.0645,0.1883,3e-4,0.1526,0.3243,4e-4,0.0898,0.1229,6e-4,0.0183,0.1578,0.1622,0.0523,0.0096,0.0715,0.0628,2e-4,675,6.3061,nonTOT
IND,48,34,58.536585365853654,453,752250,Davon Reed,23,SG,10,0,47,37.6425,14.9,0.1209,0.5,0.2553,1.2,0.1277,6,5,12,0.4167,2,4,0.5,3,8,0.375,0,0,0,2,4,3,1,0,1,3,12,0,7135,19705,1727,82,1122,3,0.1064,0.2553,0.0089,0.0426,0.0851,0.0106,0.0638,0.1702,0.008,0,0,0,0.0426,0.0851,0.0638,0.0213,0,0.0213,0.0638,0,14,0.3446,nonTOT
PHI,51,31,62.19512195121951,189,8339880,Markelle Fultz,20,SG,19,15,427,247.538,198.6842,0.1927,0.4323,0.363,8.1579,0.1639,70,65,155,0.4194,4,14,0.2857,61,141,0.4326,21,37,0.5676,26,44,59,17,5,25,52,155,0.2387,7233,19805,2258,82,1223,2.36,0.1522,0.363,0.001,0.0094,0.0328,7e-4,0.1429,0.3302,0.001,0.0492,0.0867,0.0013,0.0609,0.103,0.1382,0.0398,0.0117,0.0585,0.1218,6e-4,175,2.2912,nonTOT
PHI,51,31,62.19512195121951,309,1740000,Furkan Korkmaz,21,SG,48,7,679,334.7847,313.4792,0.1786,0.4959,0.4109,5.8125,0.1576,107,98,245,0.4,47,144,0.3264,51,101,0.505,36,44,0.8182,16,91,52,29,2,25,62,279,0.1796,7233,19805,2258,82,1223,2.08,0.1443,0.3608,6e-4,0.0692,0.2121,5e-4,0.0751,0.1487,7e-4,0.053,0.0648,0.0012,0.0236,0.134,0.0766,0.0427,0.0029,0.0368,0.0913,3e-4,289,3.3378,nonTOT
PHI,51,31,62.19512195121951,376,77250,Shake Milton,22,SG,20,0,268,155.308,100.7,0.1503,0.4713,0.3246,4.35,0.1306,35,34,87,0.3908,14,44,0.3182,20,43,0.4651,5,7,0.7143,9,26,18,8,8,6,29,87,0.0805,7233,19805,2258,82,1223,3,0.1269,0.3246,0.0015,0.0522,0.1642,0.0012,0.0746,0.1604,0.0017,0.0187,0.0261,0.0027,0.0336,0.097,0.0672,0.0299,0.0299,0.0224,0.1082,3e-4,95,1.449,nonTOT
PHI,51,31,62.19512195121951,452,12250000,JJ Redick,34,SG,76,63,2379,227.7632,1209.6711,0.2185,0.557,0.5767,18.0526,0.0782,186,452,1027,0.4401,240,605,0.3967,212,422,0.5024,228,255,0.8941,20,166,206,32,17,101,129,1372,0.2483,7233,19805,2258,82,1223,2.0396,0.19,0.4317,2e-4,0.1009,0.2543,2e-4,0.0891,0.1774,2e-4,0.0958,0.1072,4e-4,0.0084,0.0698,0.0866,0.0135,0.0071,0.0425,0.0542,1e-4,1110,9.1574,nonTOT
PHI,51,31,62.19512195121951,495,2615160,Zhaire Smith,19,SG,6,2,111,88.3583,44,0.1643,0.5,0.3604,6.6667,0.1171,13,14,34,0.4118,6,16,0.375,8,18,0.4444,6,8,0.75,3,10,10,2,2,6,8,40,0.2353,7233,19805,2258,82,1223,1.6667,0.1261,0.3063,0.0037,0.0541,0.1441,0.0034,0.0721,0.1622,0.004,0.0541,0.0721,0.0068,0.027,0.0901,0.0901,0.018,0.018,0.0541,0.0721,0.0021,39,0.7432,nonTOT
SAS,48,34,58.536585365853654,46,6153846,Marco Belinelli,32,SG,79,1,1815,274.064,784.0886,0.1981,0.5196,0.4567,10.4937,0.1091,198,285,690,0.413,147,395,0.3722,138,295,0.4678,112,124,0.9032,16,182,132,35,8,72,121,829,0.1797,7248,19805,1720,82,992,1.8333,0.157,0.3802,2e-4,0.081,0.2176,2e-4,0.076,0.1625,3e-4,0.0617,0.0683,5e-4,0.0088,0.1003,0.0727,0.0193,0.0044,0.0397,0.0667,1e-4,713,6.5705,nonTOT
